title,release_year,genres,popularity,vote_average,vote_count,original_title,overview,release_date,original_language
the seven deadly sins: prisoners of the sky,2018,"Action,Adventure,Fantasy,Animation",4.454,7.567,1019.0,劇場版 七つの大罪 天空の囚われ人,"Traveling in search of the rare ingredient, “sky fish”  Meliodas and Hawk arrive at a palace that floats above the clouds. The people there are busy preparing a ceremony, meant to protect their home from a ferocious beast that awakens once every 3,000 years. But before the ritual is complete, the Six Knights of Black—a Demon Clan army—removes the seal on the beast, threatening the lives of everyone in the Sky Palace.",2018-08-18,ja
joan the maid ii: the prisons,1994,"History,Drama",4.796,6.8,19.0,Jeanne la Pucelle II - Les Prisons,"Jeanne d'Arc has succeeded in lifting the siege on Orléans and Charles VII has been ordained King of France. However, she is injured in her failed attempt to take Paris, weakening her position at court. When she is finally captured and put on trial, she finds both her life and the sanctity of her body at stake.",1994-02-10,fr
prisoners of the sun,2013,"Mystery,Action,Adventure,Horror",7.811,3.9,61.0,Prisoners of the Sun,"A multinational expedition discovers a lost city beneath a pyramid, where they must stop the reawakened gods of ancient Egypt from initiating the apocalypse",2013-12-20,en
release the prisoners to spring,1975,Comedy,1.982,6.0,35.0,Släpp fångarne loss - det är vår!,"Small and short Frida lives with her long, tall friend in a house in the countryside. Frida rejects the idea that people who have committed crimes should be locked up. One day their own house is burgled by Harald. He is sentenced to prison. Acting in accordance with her philosophy, Frida decides to use all means possible to make it possible for Harald to escape.",1975-12-06,sv
the cruel history of prisoners,1976,"Thriller,Crime,Horror",2.69,4.2,5.0,残虐女刑史,Short stories dealing with extreme punishment towards promiscuous women.,1976-01-01,ja
female prisoner scorpion: beast stable,1973,"Drama,Crime,Thriller",10.799,6.8,65.0,女囚さそり　けもの部屋,"Following her successful prison break, Scorpion begins this third episode in the series hiding out in a brothel. Her prostitute friend tries to keep her identity secret, but the brothel's madam discovers that Scorpion is the ex-girlfriend of the vice officer who killed her lover.",1973-07-29,ja
prisoners of the ghostland,2021,"Action,Fantasy,Horror",10.587,5.009,574.0,Prisoners of the Ghostland,"In the treacherous frontier city of Samurai Town, a ruthless bank robber is sprung from jail by wealthy warlord The Governor, whose adopted granddaughter Bernice has gone missing. The Governor offers the prisoner his freedom in exchange for retrieving the runaway. Strapped into a leather suit that will self-destruct within five days, the bandit sets off on a journey to find the young woman—and his own path to redemption.",2021-08-31,en
prisoner's daughter,2023,"Drama,Mystery,Thriller",8.632,6.3,67.0,Prisoner's Daughter,"Released from prison with terminal cancer, Max tries to reconnect with his estranged daughter and the grandson he’s never known. When his daughter’s abusive, drug-addicted ex-husband reappears, Max’s violent past comes back to haunt them all.",2023-06-30,en
women's prison,1988,"Drama,Crime",5.936,5.8,5.0,女子監獄,"A young woman about to get married discovers all too late that her spouse has mafia connections, when violence breaks out during her wedding. Caught up in the crossfire Lynn gets arrested and thrown into a women's prison.",1988-08-11,cn
insidious: chapter 2,2013,"Horror,Thriller",38.24,6.7,4228.0,Insidious: Chapter 2,The haunted Lambert family seeks to uncover the mysterious childhood secret that has left them dangerously connected to the spirit world.,2013-09-12,en
riddick,2013,"Science Fiction,Action,Thriller",30.023,6.3,4051.0,Riddick,"Betrayed by his own kind and left for dead on a desolate planet, Riddick fights for survival against alien predators and becomes more powerful and dangerous than ever before. Soon bounty hunters from throughout the galaxy descend on Riddick only to find themselves pawns in his greater scheme for revenge. With his enemies right where he wants them, Riddick unleashes a vicious attack of vengeance before returning to his home planet of Furya to save it from destruction.",2013-09-02,en
the chronicles of riddick,2004,"Action,Science Fiction",15.575,6.5,4056.0,The Chronicles of Riddick,"After years of outrunning ruthless bounty hunters, escaped convict Riddick suddenly finds himself caught between opposing forces in a fight for the future of the human race. Now, waging incredible battles on fantastic and deadly worlds, this lone, reluctant hero will emerge as humanity's champion - and the last hope for a universe on the edge of annihilation.",2004-06-11,en
the chronicles of riddick: dark fury,2004,"Animation,Action,Science Fiction,Thriller",2.288,6.0,311.0,The Chronicles of Riddick: Dark Fury,"After their narrow escape at the end of ""Pitch Black,""  Riddick, Jack and the Imam find themselves at the mercy of a madwoman who intends to entomb Riddick forever as part of a twisted art exhibit.  With little but a shiv and Riddick's innate viciousness to aid them, Riddick and his allies must find a way to escape from their captor and her band of mercenaries.",2004-06-15,en
riddick: blindsided,2013,"Action,Animation,Science Fiction",1.058,6.542,84.0,Riddick: Blindsided,"This motion comic gaps the bridge between 2004's The Chronicles of Riddick, and 2013's Riddick. A new attempt on Lord Marshal Riddick's life is made on the Necromongers' ship. It's time for Riddick to end the years long meandering through space and go back to his roots.",2013-07-26,en
evander holyfield vs riddick bowe i,1992,unknown,0.013,0.0,0.0,Evander Holyfield vs Riddick Bowe I,"In the beginning of a trilogy of bouts with the 25-year old Riddick Bowe, who had won a silver medal in the 1988 Olympics, in the Super Heavyweight division, he suffered his first defeat when Bowe won the undisputed title by a 12-round unanimous decision in Las Vegas. Round Ten of that bout was named the Round of the Year by Ring Magazine. Holyfield was knocked down in round 11. He made the mistake of getting into a slugfest with the younger, bigger and stronger Bowe, leading to his defeat.",1992-11-13,en
pitch black,2000,"Thriller,Science Fiction,Action",13.261,6.8,4387.0,Pitch Black,"When their ship crash-lands on a remote planet, the marooned passengers soon learn that escaped convict Riddick isn't the only thing they have to fear. Deadly creatures lurk in the shadows, waiting to attack in the dark, and the planet is rapidly plunging into the utter blackness of a total eclipse. With the body count rising, the doomed survivors are forced to turn to Riddick with his eerie eyes to guide them through the darkness to safety. With time running out, there's only one rule: Stay in the light.",2000-02-18,en
into pitch black,2000,"Action,Science Fiction,Crime,TV Movie",7.597,6.114,79.0,Into Pitch Black,"After the events of Pitch Black, a contractor is hired to locate Riddick, dead or alive. He reviews available information on him and the events of Pitch Black. Terrified, he hires a female cyberpunk merc to do the job for him.",2000-12-02,en
