movie_title,year,occasion,top_10_gross_in_millions,overall_gross_in_millions,top10_wow_change,overall_wow_change,top10_gross,overall_gross,num_releases,week_no,date
the other woman,2014,normal weekend,97.47,116.8,-16.2%,-12.5%,97473803,116798742,114,17,Apr 25-27
captain america: the winter soldier,2014,Easter wknd,128.57,144.54,-,-,128566271,144538498,52,16,Apr 18-21
captain america: the winter soldier,2014,normal weekend,116.26,133.41,-11.3%,-4.7%,116260430,133412005,112,16,Apr 18-20
captain america: the winter soldier,2014,normal weekend,131.08,140.04,-15.9%,-16.2%,131084472,140035789,109,15,Apr 11-13
captain america: the winter soldier,2014,normal weekend,155.8,167.2,+24.9%,+18.8%,155800774,167195578,115,14,Apr 4-6
noah,2014,normal weekend,124.75,140.73,-3.7%,-0.5%,124746109,140733798,107,13,Mar 28-30
divergent,2014,normal weekend,129.58,141.51,+31.4%,+24.2%,129583231,141511040,111,12,Mar 21-23
mr. peabody & sherman,2014,normal weekend,98.62,113.96,-22.7%,-20.8%,98624322,113961674,108,11,Mar 14-16
300: rise of an empire,2014,normal weekend,127.54,143.86,+22.5%,+16.3%,127539955,143856540,110,10,Mar 7-9
non-stop,2014,normal weekend,104.09,123.7,+10.4%,+10.6%,104089480,123702145,113,9,Feb 28-Mar 2
the lego movie,2014,Sochi Olympics,94.31,111.89,-39.5%,-37.2%,94308705,111894114,106,8,Feb 21-23
the lego movie,2014,Sochi Olympics,155.76,178.2,+17.4%,+16.5%,155759468,178203826,102,7,Feb 14-16
the lego movie,2014,Presidents' Day wkndSochi Olympics,182.14,208.76,-,-,182141128,208762307,84,7,Feb 14-17
the lego movie,2014,Sochi Olympics,132.71,152.98,+101.4%,+77.7%,132710403,152984502,109,6,Feb 7-9
ride along,2014,normal weekend,65.89,86.09,-29.5%,-27.1%,65887288,86093764,95,5,Jan 31-Feb 2
ride along,2014,normal weekend,93.47,118.16,-36.4%,-33%,93470822,118158602,97,4,Jan 24-26
ride along,2014,MLK wknd,177.31,213.24,-,-,177312805,213241808,68,3,Jan 17-20
ride along,2014,normal weekend,146.86,176.38,+30.6%,+25.4%,146864924,176376093,88,3,Jan 17-19
lone survivor,2014,normal weekend,112.45,140.68,-5.5%,-0.4%,112448084,140678920,90,2,Jan 10-12
frozen,2014,normal weekend,118.94,141.24,-29.1%,-28.4%,118936215,141235662,82,1,Jan 3-5
star wars: episode vii - the force awakens,2015,normal weekend,273.02,296.45,-9.8%,-5.4%,273024546,296447415,72,52,Dec 25-27
star wars: episode vii - the force awakens,2015,normal weekend,302.7,313.28,+353.8%,+304.5%,302697164,313284961,86,51,Dec 18-20
the hunger games: mockingjay - part 2,2015,normal weekend,66.7,77.45,-23.1%,-20.8%,66695452,77446378,92,50,Dec 11-13
the hunger games: mockingjay - part 2,2015,Post-Thanksgiving,86.76,97.83,-48.3%,-46.4%,86761557,97833704,95,49,Dec 4-6
the hunger games: mockingjay - part 2,2015,Thanksgiving 3-Day,167.81,182.53,+2.8%,+5.1%,167805985,182526007,86,48,Nov 27-29
