rank,title,year,release_date,genre,prod_cost_range_million,worldwide_gross_range_million,domestic_gross_range_million,production_cost,domestic_gross,worldwide_gross,opening_weekend,theaters,runtime
330,the perfect storm,2000,2000-06-30,Drama,116-121,323-333,180-185,120000000,182618434,328711434,41325042.0,3407.0,129.0
331,jason bourne,2016,2016-07-20,Action,116-121,413-423,160-165,120000000,162192920,416168316,59215365.0,4039.0,123.0
332,uncharted,2022,2022-02-10,Adventure,116-121,393-403,145-150,120000000,148648820,401748820,44010155.0,4275.0,116.0
333,fantastic four: rise of the silver surfer,2007,2007-06-15,Action,116-121,283-293,130-135,120000000,131921738,289480691,58051684.0,3963.0,91.0
334,life of pi,2012,2012-11-21,Drama,116-121,613-623,120-125,120000000,124987022,619310368,22451514.0,2946.0,125.0
335,ghost rider,2007,2007-02-16,Action,116-121,223-233,110-115,120000000,115802596,229545589,45388836.0,3620.0,110.0
336,rampage,2018,2018-04-09,Action,116-121,423-433,100-105,120000000,101028233,427947217,35753093.0,4115.0,107.0
337,charlie's angels: full throttle,2003,2003-06-27,Action,116-121,223-233,95-100,120000000,100814328,227163273,37634221.0,3485.0,106.0
338,elysium,2013,2013-08-09,Action,116-121,283-293,90-95,120000000,93050117,286192091,29807393.0,3284.0,109.0
339,oblivion,2013,2013-04-19,Thriller/Suspense,116-121,283-293,85-90,120000000,89107235,287916633,37054485.0,3792.0,125.0
340,power rangers,2017,2017-03-24,Action,116-121,133-143,80-85,120000000,85364450,142531552,40300288.0,3693.0,124.0
341,stuart little 2,2002,2002-07-19,Adventure,116-121,163-173,60-65,120000000,64956806,166000000,15115152.0,3282.0,77.0
342,robocop,2014,2014-02-12,Action,116-121,233-243,55-60,120000000,58607007,242981799,21681430.0,3372.0,116.0
343,the chronicles of riddick,2004,2004-06-11,Adventure,116-121,103-113,55-60,120000000,57712751,107212751,24289165.0,2759.0,119.0
345,speed racer,2008,2008-05-09,Action,116-121,83-93,40-45,120000000,43945766,93394462,18561337.0,3606.0,135.0
346,the island,2005,2005-07-22,Action,116-121,153-163,30-35,120000000,35818913,163018913,12409070.0,3138.0,136.0
347,how do you know?,2010,2010-12-17,Romantic Comedy,116-121,43-53,25-30,120000000,30212620,49628177,7484696.0,2483.0,121.0
350,knight and day,2010,2010-06-23,Action,116-121,253-263,75-80,117000000,76423035,258751370,20139985.0,3104.0,109.0
352,venom,2018,2018-10-02,Action,111-116,853-863,210-215,116000000,213511408,856081053,80255756.0,4250.0,112.0
353,star wars ep. i: the phantom menace,1999,1999-05-19,Adventure,111-116,1023-1033,470-475,115000000,474544677,1027044677,64810970.0,3126.0,133.0
354,star wars ep. iii: revenge of the sith,2005,2005-05-19,Adventure,111-116,843-853,375-380,115000000,380270577,848998877,108435841.0,3663.0,139.0
355,star wars ep. ii: attack of the clones,2002,2002-05-16,Adventure,111-116,653-663,305-310,115000000,310676740,656695615,80027814.0,3161.0,143.0
356,"monsters, inc.",2001,2001-11-02,Adventure,111-116,553-563,285-290,115000000,290149425,560483719,62577067.0,3649.0,92.0
357,the wolverine,2013,2013-07-26,Action,111-116,413-423,130-135,115000000,132556852,416456852,53113752.0,3924.0,126.0
358,dante’s peak,1997,1997-02-07,Thriller/Suspense,111-116,173-183,65-70,115000000,67163857,178200000,18479435.0,2761.0,109.0
359,the huntsman: winter’s war,2016,2016-04-06,Action,111-116,163-173,45-50,115000000,48003015,165149302,19445035.0,3802.0,113.0
360,windtalkers,2002,2002-06-14,Action,111-116,73-83,35-40,115000000,40914068,77628265,14520412.0,2898.0,134.0
363,gulliver's travels,2010,2010-12-24,Adventure,111-116,223-233,40-45,112000000,42779261,232017848,6307691.0,3089.0,87.0
364,ferdinand,2017,2017-12-08,Adventure,106-111,283-293,80-85,111000000,84410380,288510892,13401586.0,3630.0,107.0
365,deadpool 2,2018,2018-05-11,Action,106-111,783-793,320-325,110000000,324591735,786362370,125507153.0,4349.0,119.0
366,gravity,2013,2013-10-03,Thriller/Suspense,106-111,683-693,270-275,110000000,274092705,688214291,55785112.0,3820.0,91.0
367,night at the museum,2006,2006-12-22,Adventure,106-111,573-583,245-250,110000000,250863268,579446407,30433781.0,3768.0,108.0
368,venom: let there be carnage,2021,2021-09-30,Action,106-111,493-503,210-215,110000000,213550366,501600379,90033210.0,4225.0,97.0
369,mr. and mrs. smith,2005,2005-06-10,Action,106-111,483-493,185-190,110000000,186336279,486124090,50342878.0,3451.0,120.0
370,san andreas,2015,2015-05-27,Adventure,106-111,453-463,150-155,110000000,155190832,456258539,54588173.0,3812.0,114.0
371,the smurfs,2011,2011-07-29,Adventure,106-111,553-563,140-145,110000000,142614158,563749323,35611637.0,3427.0,103.0
372,live free or die hard,2007,2007-06-27,Action,106-111,373-383,130-135,110000000,134529403,382288147,33369559.0,3411.0,129.0
373,the divergent series: insurgent,2015,2015-03-18,Action,106-111,293-303,125-130,110000000,130179072,295075882,52263680.0,3875.0,118.0
374,ocean's twelve,2004,2004-12-10,Adventure,106-111,353-363,120-125,110000000,125531634,362989076,39153380.0,3290.0,125.0
375,tomorrow never dies,1997,1997-12-19,Action,106-111,333-343,120-125,110000000,125304276,339504276,25143007.0,2807.0,119.0
376,the patriot,2000,2000-06-28,Drama,106-111,213-223,110-115,110000000,113330342,215300000,22413710.0,3061.0,164.0
377,300: rise of an empire,2014,2014-03-07,Action,106-111,323-333,105-110,110000000,106580051,330780051,45038460.0,3490.0,102.0
378,the aviator,2004,2004-12-17,Drama,106-111,203-213,100-105,110000000,102608827,208370892,858021.0,2530.0,170.0
379,passengers,2016,2016-12-21,Thriller/Suspense,106-111,293-303,95-100,110000000,100014699,302239672,14869736.0,3478.0,116.0
380,the green hornet,2011,2011-01-14,Action,106-111,223-233,95-100,110000000,98780042,229155503,33526876.0,3584.0,118.0
381,miss peregrine’s home for peculiar children,2016,2016-09-21,Adventure,106-111,293-303,85-90,110000000,87242834,295986876,28871140.0,3835.0,126.0
382,real steel,2011,2011-10-07,Action,106-111,253-263,80-85,110000000,85463309,263880341,27319677.0,3440.0,126.0
